,Date.Day,Date.Month,Date.Year,Data.Cases,Data.Deaths,Location.Country,Location.Code,Data.Population,Location.Continent,Data.Rate
2354,4,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2355,4,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2377,4,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2402,4,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00303891
2413,5,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2415,5,2,2020,1,0,Canada,CAN,37411038,America,0.01336504
2421,5,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2422,5,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2444,5,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2469,5,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00303891
2480,6,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2482,6,2,2020,0,0,Canada,CAN,37411038,America,0.01336504
2488,6,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2489,6,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2511,6,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2536,6,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00334281
2547,7,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2549,7,2,2020,2,0,Canada,CAN,37411038,America,0.01871106
2555,7,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2556,7,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2578,7,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2603,7,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00334281
2614,8,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2616,8,2,2020,0,0,Canada,CAN,37411038,America,0.01871106
2622,8,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2623,8,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2645,8,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2670,8,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00303891
2681,9,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2683,9,2,2020,0,0,Canada,CAN,37411038,America,0.01603805
2689,9,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2690,9,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2712,9,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2737,9,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00303891
2748,10,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2750,10,2,2020,0,0,Canada,CAN,37411038,America,0.01603805
2756,10,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2757,10,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2779,10,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
2804,10,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00212724
2815,11,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2817,11,2,2020,0,0,Canada,CAN,37411038,America,0.01336504
2823,11,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2824,11,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2846,11,2,2020,1,0,Mexico,MEX,127575529,America,0.0015677
2871,11,2,2020,1,0,United_States_of_America,USA,329064917,America,0.00243113
2882,12,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2884,12,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
2890,12,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2891,12,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2913,12,2,2020,0,0,Mexico,MEX,127575529,America,0.0015677
2938,12,2,2020,0,0,United_States_of_America,USA,329064917,America,0.00243113
2949,13,2,2020,0,0,Brazil,BRA,211049519,America,0.0
2951,13,2,2020,0,0,Canada,CAN,37411038,America,0.01069203
2957,13,2,2020,0,0,Dominican_Republic,DOM,10738957,America,0.0
2958,13,2,2020,0,0,Ecuador,ECU,17373657,America,0.0
2980,13,2,2020,0,0,Mexico,MEX,127575529,America,0.00078385
